,x,y,target,KmeansCluster,GMMCluster
0,-1.40124516459,-1.11374918856,0.0,7,1
1,-14.5967381332,3.01513016591,0.0,3,0
2,-0.106379488561,8.11104476413,0.0,0,2
3,4.59803118576,14.460465779,0.0,5,1
4,8.52473885451,-6.18830350648,0.0,2,2
5,-6.14835328089,10.7834405371,0.0,5,0
6,-1.76348459237,10.2422274588,0.0,0,1
7,5.71211444985,-1.32025089415,1.0,2,2
8,13.9368852828,-1.9647754465,1.0,6,2
9,-9.21412049603,11.0384108684,0.0,5,0
10,13.188922692,0.629677910555,1.0,6,2
11,13.683773617,2.82895908683,1.0,6,2
12,5.01630821921,2.47208630611,0.0,5,1
13,-5.0460963585,10.7757928327,0.0,5,1
14,12.3429569164,3.96493387107,1.0,8,2
15,-11.3553614526,1.13863000777,0.0,3,0
16,-5.96370760565,9.84317432885,0.0,5,0
17,-1.01886080349,-11.0664576047,0.0,4,3
18,-5.67534399364,-0.649103108826,1.0,7,1
19,-0.405927923191,2.26620135815,1.0,7,1
20,-0.708472389879,7.47525378069,1.0,0,1
21,-5.55044343768,3.77659677422,0.0,0,1
22,10.5980916731,-1.61765218297,1.0,6,2
23,-0.615042365603,7.49543107457,1.0,0,1
24,-11.0203468224,3.72730762625,0.0,3,0
25,-9.36121420609,10.2244158463,1.0,3,0
26,7.88494843397,-6.07669953543,1.0,2,2
27,9.255624912,12.9947863678,0.0,5,1
28,0.563573223952,7.71504602854,0.0,0,1
29,11.8460398399,-3.36895838309,1.0,6,2
30,-0.139173366489,-4.75489046122,1.0,2,1
31,12.6260220449,5.90213961627,0.0,6,2
32,-2.53241836331,14.810691272,0.0,5,1
33,-15.3527532566,6.33206530067,0.0,3,0
34,-3.74305328887,-8.15075647183,1.0,7,3
35,-12.001361709,9.24212258989,0.0,3,0
36,-0.784405186679,-8.55799720039,1.0,0,3
37,1.1950141974,8.98218226716,1.0,0,1
38,-11.0815853216,5.6720080418,0.0,3,0
39,9.27228267301,11.8021892218,1.0,5,1
40,-13.8627648666,6.5279731497,0.0,3,0
41,-3.74301620714,-8.1398302316,1.0,7,3
42,4.08795385123,10.3830504069,1.0,0,1
43,1.90356954582,-2.39989450957,1.0,2,2
44,4.87439452081,8.69194698293,0.0,0,2
45,-8.15356479118,-1.67448808551,1.0,7,0
46,3.53402405834,10.5334115783,0.0,0,1
47,6.15747339276,16.5271173609,0.0,5,1
48,-5.1016640889,-1.79366789316,1.0,7,1
49,-10.2668602734,4.90950896424,1.0,8,0
50,9.97469659841,10.5456187871,0.0,5,1
51,7.6273152101,12.0145200623,1.0,5,1
52,-0.200765793078,2.41228711577,1.0,7,1
53,14.8282819502,-2.59247013686,0.0,6,2
54,3.12505620101,12.7160804148,1.0,5,1
55,4.39437570631,15.2658184004,0.0,5,1
56,-3.3896724523,-8.31734143696,0.0,0,3
57,1.1203840722,9.38105763555,0.0,0,1
58,10.1397975447,-1.01429542011,1.0,5,2
59,-13.3690528514,0.987877527782,0.0,8,0
60,-13.8547180612,0.780910984995,0.0,3,0
61,-4.6840275224,-7.70461855128,0.0,7,2
62,1.74475621763,4.94556748665,0.0,8,0
63,-8.4996956168,12.2407063524,0.0,5,0
64,-8.67189923865,10.1362696803,0.0,5,0
65,-1.69319472115,7.86974969831,1.0,5,1
66,-6.26699104659,2.34224040764,0.0,0,1
67,8.6493150242,13.4219560845,0.0,5,1
68,10.0105412158,10.3186279009,1.0,5,1
69,7.09524159959,12.4865528346,0.0,5,1
70,-10.4488412939,-4.94816904343,0.0,1,3
71,1.16371627915,8.25621244349,1.0,0,1
72,13.4078754921,3.26311194284,1.0,6,2
73,0.170885821388,8.99251759935,0.0,0,1
74,12.6641168722,7.21427405362,1.0,8,2
75,3.07331044631,-7.46429048604,1.0,7,3
76,-1.12114961246,-4.04611238242,1.0,0,1
77,-11.4326476904,10.6792510513,0.0,3,0
78,-3.43997095974,0.845937450656,1.0,7,1
79,-0.12246372343,13.2056170165,0.0,0,0
80,7.6926930708,13.59769098,0.0,5,1
81,-1.70608572825,3.49339412205,1.0,7,1
82,-7.10376874267,11.6522238833,0.0,5,1
83,0.677679330455,-4.83022030417,1.0,2,2
84,2.43994835904,-5.07537919458,1.0,2,2
85,12.3124794516,6.77998413374,1.0,8,2
86,-4.02826972157,-1.30206311469,0.0,7,2
87,-10.9750952667,5.1382265703,0.0,3,0
88,-7.78431602643,5.66161161933,0.0,8,0
